1,7e+06,2,64,4,NA,"",1,2,2300000,2
2,7000001,1,56,6,1,"",1,3,3825000,2
3,7000002,2,78,6,1,"",0,3,2386666.66666667,2
4,7000003,2,61,4,NA,"",1,2,1983333.33333333,2
5,7000004,1,57,4,NA,"",0,1,2080000,1
6,7000005,2,50,6,2,"",1,2,1680000,2
7,7000006,1,56,2,1,"",0,2,6e+05,1
8,7000007,1,46,2,1,"",1,3,37500,2
9,7000008,1,56,2,1,"",1,4,2020000,3
10,7000010,1,42,2,1,"",1,3,4250000,2
11,7000011,2,27,4,NA,"",2,3,971250,2
12,7000013,1,36,2,1,"",5,7,1591666.66666667,3
13,7000014,1,71,6,1,"",0,2,388333.333333333,1
14,7000015,1,34,2,1,"",3,5,595000,1
15,7000016,1,69,4,NA,"",0,1,237500,1
16,7000017,2,74,3,NA,"",0,2,2100000,1
17,7000018,1,47,4,NA,"",0,1,878333.333333333,1
18,7000019,1,37,5,NA,"",0,1,7e+05,1
19,7000020,1,29,2,1,"",1,3,1018333.33333333,1
20,7000021,1,65,6,1,"",0,2,1500000,1
21,7000022,1,38,2,1,"820_01",2,4,3532333.33333333,2
22,7000023,1,72,6,1,"",1,3,3916666.66666667,3
23,7000024,2,78,3,NA,"",0,1,1546345.5,1
24,7000025,2,69,4,NA,"",0,2,403333.333333333,1
25,7000026,1,32,1,1,"500_01",2,4,744166.666666667,1
26,7000027,1,38,6,2,"",0,1,450000,1
27,7000028,1,41,6,1,"",3,5,1466666.66666667,3
28,7000029,1,55,5,NA,"",0,1,4e+05,1
29,7000030,1,47,6,1,"",4,6,1156242,3
30,7000031,1,43,2,1,"",1,3,795000,1
31,7000032,1,36,6,1,"505_01",2,4,950000,3
32,7000034,1,30,6,1,"",2,4,1629166.66666667,2
33,7000035,2,54,5,NA,"",1,3,1200000,2
34,7000036,1,36,2,1,"",2,4,1455000,2
35,7000037,1,46,4,NA,"",0,2,8e+05,1
36,7000038,1,47,2,1,"",0,2,0,1
37,7000039,2,60,3,NA,"",1,4,622500,2
38,7000040,2,58,2,1,"",1,5,6258333.33333333,2
39,7000041,1,80,2,1,"",0,2,250000,1
40,7000042,2,66,3,NA,"",1,3,430416.666666667,1
41,7000043,2,50,4,NA,"",2,3,1400000,3
42,7000044,1,50,4,NA,"",0,1,425000,1
43,7000045,1,41,2,1,"",1,6,1298333.33333333,2
44,7000046,2,36,2,1,"",3,5,665833.333333333,2
45,7000047,2,47,4,NA,"",2,6,1259166.66666667,2
46,7000048,1,40,2,1,"",0,2,8e+05,1
47,7000049,1,21,2,1,"",0,3,4e+05,1
48,7000051,2,39,4,NA,"",1,2,1780000,2
49,7000052,2,23,5,NA,"",0,1,9e+05,1
50,7000054,2,69,4,NA,"",0,2,225000,1
51,7000055,1,77,6,1,"",1,4,1119166.66666667,2
52,7000056,2,39,4,NA,"",2,3,5623000,3
53,7000058,2,46,6,1,"",3,8,1582500,2
54,7000059,1,33,1,1,"",2,4,1729033.33333333,1
55,7000060,2,69,4,NA,"",0,4,1633333.33333333,2
56,7000061,1,48,1,1,"",1,4,1482500,2
57,7000062,2,69,3,NA,"",1,3,5e+05,3
58,7000063,1,65,1,1,"",0,2,12575000,1
59,7000064,2,77,3,NA,"",1,2,2981242,2
60,7000065,2,70,6,1,"",2,4,2523333.33333333,3
61,7000066,2,40,4,NA,"",2,3,105000,2
62,7000067,2,74,4,NA,"",1,5,4996005.5,3
63,7000069,1,33,2,1,"",4,6,391666.666666667,2
64,7000070,1,21,2,1,"",1,3,0,1
65,7000071,2,50,4,NA,"",0,2,358333.333333333,1
66,7000072,2,24,4,NA,"",3,4,310000,2
67,7000073,2,29,4,NA,"",2,3,640000,2
68,7000074,1,71,2,1,"",3,5,990000,3
69,7000075,2,40,2,1,"730_05",0,2,1300000,1
70,7000076,1,36,2,1,"",2,4,1400000,2
71,7000077,1,43,4,NA,"",3,4,1501666.66666667,2
72,7000078,2,79,3,NA,"",1,5,3058211,3
73,7000079,1,78,2,1,"",2,6,3232833.33333333,3
74,7000080,1,39,2,1,"",2,4,1281000,2
